"ResponseColumnName","DataExportTag","QuestionText","Block","QualtricsQuestionType","QuestionSelector","QuestionSubSelector","QuestionType"
"Q1_1","Q1","This is a bipolar matrix.","Matrix Questions","Matrix","Bipolar","","Single Answer"
"Q1_2","Q1","This is a bipolar matrix.","Matrix Questions","Matrix","Bipolar","","Single Answer"
"Q1_3","Q1","This is a bipolar matrix.","Matrix Questions","Matrix","Bipolar","","Single Answer"
"Q2_1","Q2","This is a single answer likert matrix.","Matrix Questions","Matrix","Likert","SingleAnswer","Single Answer"
"Q2_2","Q2","This is a single answer likert matrix.","Matrix Questions","Matrix","Likert","SingleAnswer","Single Answer"
"Q2_3","Q2","This is a single answer likert matrix.","Matrix Questions","Matrix","Likert","SingleAnswer","Single Answer"
"Q3_1_1","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_1_2","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_1_3","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_2_1","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_2_2","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_2_3","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_3_1","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_3_2","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q3_3_3","Q3","This is a multiple answer likert matrix","Matrix Questions","Matrix","Likert","MultipleAnswer","Check All"
"Q4_1","Q4","This is a drop down matrix","Matrix Questions","Matrix","Likert","DL","Single Answer"
"Q4_2","Q4","This is a drop down matrix","Matrix Questions","Matrix","Likert","DL","Single Answer"
"Q4_3","Q4","This is a drop down matrix","Matrix Questions","Matrix","Likert","DL","Single Answer"
"Q5","Q5","This is a single answer horizontal question","Multiple Choice Questions","MC","SAHR","TX","Single Answer"
"Q6","Q6","This is a single answer vertical question","Multiple Choice Questions","MC","SAVR","TX","Single Answer"
"Q7","Q7","This is a single answer column question","Multiple Choice Questions","MC","SACOL","TX","Single Answer"
"Q8","Q8","This is a drop down list","Multiple Choice Questions","MC","DL","","Single Answer"
"Q9","Q9","This is a single selection box","Multiple Choice Questions","MC","SB","","Single Answer"
"Q10_1","Q10","This is a multiple selection box","Multiple Choice Questions","MC","MSB","","Check All"
"Q10_2","Q10","This is a multiple selection box","Multiple Choice Questions","MC","MSB","","Check All"
"Q10_3","Q10","This is a multiple selection box","Multiple Choice Questions","MC","MSB","","Check All"
"Q11_1","Q11","This is a multiple answer (check allcolumn question.","Multiple Choice Questions","MC","MACOL","TX","Check All"
"Q11_2","Q11","This is a multiple answer (check allcolumn question.","Multiple Choice Questions","MC","MACOL","TX","Check All"
"Q11_3","Q11","This is a multiple answer (check allcolumn question.","Multiple Choice Questions","MC","MACOL","TX","Check All"
"Q12_1","Q12","This is a multiple choice (check allhorizontal question","Multiple Choice Questions","MC","MAHR","TX","Check All"
"Q12_2","Q12","This is a multiple choice (check allhorizontal question","Multiple Choice Questions","MC","MAHR","TX","Check All"
"Q12_3","Q12","This is a multiple choice (check allhorizontal question","Multiple Choice Questions","MC","MAHR","TX","Check All"
"Q13_1","Q13","This is a multiple choice (check allvertical question","Multiple Choice Questions","MC","MAVR","TX","Check All"
"Q13_2","Q13","This is a multiple choice (check allvertical question","Multiple Choice Questions","MC","MAVR","TX","Check All"
"Q13_3","Q13","This is a multiple choice (check allvertical question","Multiple Choice Questions","MC","MAVR","TX","Check All"
"Q14_1","Q14","This is a drag and drop rank order question","Rank Order Questions","RO","DND","TX","Rank Order"
"Q14_2","Q14","This is a drag and drop rank order question","Rank Order Questions","RO","DND","TX","Rank Order"
"Q14_3","Q14","This is a drag and drop rank order question","Rank Order Questions","RO","DND","TX","Rank Order"
"Q15_1","Q15","This is a radio button rank order question","Rank Order Questions","RO","RB","TX","Rank Order"
"Q15_2","Q15","This is a radio button rank order question","Rank Order Questions","RO","RB","TX","Rank Order"
"Q15_3","Q15","This is a radio button rank order question","Rank Order Questions","RO","RB","TX","Rank Order"
